gene,effect_size,t_p,u_p,n_tnbc,n_other,t_q,u_q,pan_cancer_mean_effect,median_log2_rsem_tnbc_tumor
ZFX,-0.22211317124367536,0.0013862429799078467,0.00035472593261957875,25,1181,0.20208717782705365,0.13251230620420137,-0.29500474941727806,9.30089834032565
YME1L1,0.13766587521240992,0.0013840816140612492,0.016314472378630998,25,1181,0.20208717782705365,0.3430903385975727,-0.3220582199501497,12.054362834601552
TRPC5,-0.08617365114627674,0.0015371813996304749,0.0002242203965352314,25,1181,0.20284919223340853,0.11741902550297391,0.04549573386312548,0.0
PLPBP,-0.07040905728671708,0.0015363120640605147,0.0036531914746837347,25,1181,0.20284919223340853,0.23994643345257893,0.04350191419019408,9.841655750880873
UGT2B7,0.09432497527207542,0.0014812591537384306,0.0010282624122762351,25,1181,0.20284919223340853,0.16782369911489245,0.05200357301833763,2.7798101422169674
RCBTB2,0.08362963478223098,0.0014376805815358882,0.0026029998066289107,25,1181,0.20284919223340853,0.22592354908258516,-0.09672843161038393,7.878355239089579
PRR15L,0.11614594200447056,0.0015385360628935119,0.00027188314790769266,25,1181,0.20284919223340853,0.11971237350806783,-0.1603840799965269,8.207082630055933
CREB3L2,-0.06519005831212188,0.0014345792016990312,0.003230057538761403,25,1181,0.20284919223340853,0.23121851223285197,0.05567150850888805,11.947281386691152
CRTAC1,0.06633248647863879,0.0014587625280351095,0.0014150055799669868,25,1181,0.20284919223340853,0.17867933136892986,-0.040126196705196154,3.9988877691647033
RARRES2,0.058230916998493254,0.001445086814693698,0.008325894357239795,25,1181,0.20284919223340853,0.2779689912071996,-0.0867376942047222,9.285167609649042
GPRC5B,-0.07052750734009094,0.001528330757149851,0.0026531832762358354,25,1181,0.20284919223340853,0.22592354908258516,0.1230239522610095,9.996325456353771
DNAJB12,-0.10135460571929289,0.0014670136817853255,0.0009605733048133158,25,1181,0.20284919223340853,0.1662081822058303,-0.2636941515913685,10.152982529170536
XRN2,0.22926426757811313,0.0015254320063152725,0.004358954465822908,25,1181,0.20284919223340853,0.24734307761604607,-1.3439740784806422,11.2104339570732
IRF4,0.12443297814427884,0.0015291494395246361,0.15494475159806503,25,1181,0.20284919223340853,0.6258874388161533,-0.18451406339142512,7.151213024457954
ABCC6,-0.09918208294800325,0.001536076099225271,0.0016223172024638645,12,370,0.20284919223340853,0.18889460881415296,-0.04648180663672914,4.0456564862314135
ZPBP,0.10395499094735025,0.0015646788440669625,0.0005135421702503774,25,1181,0.2047901923574066,0.14807181063867333,0.0876565940824688,0.0
MAT2A,-0.33549699944598554,0.001669827935666315,0.0012870758304596448,25,1181,0.20576797113300632,0.17669286988403096,-1.348525543537675,11.827586732233094
SRP9,0.16772804133261943,0.0016598457899142391,0.0032849997110231013,25,1181,0.20576797113300632,0.23121851223285197,-0.964301145722597,12.444896075008892
CHRM3,0.06974177705936704,0.0016158951378135958,0.0021343384033439476,25,1181,0.20576797113300632,0.21380347435955488,0.05928207614205062,5.564034840223142
PNKD,-0.06399536639737202,0.0017083466127863869,0.001598528483323951,25,1181,0.20576797113300632,0.18889460881415296,-0.08143291658641955,10.188886032729645
PSMD9,-0.0843520046066085,0.0016073557284115919,0.001127692677452694,25,1181,0.20576797113300632,0.17136150338478184,-0.2455289017778086,9.641924653297874
DIMT1,0.12097834014452846,0.001710317940320293,0.0007213688516965606,25,1181,0.20576797113300632,0.16373246683254467,-0.8170147429904703,8.754814234653761
UBP1,0.0958717084366287,0.0016033987954843852,0.002598029490628199,25,1181,0.20576797113300632,0.22592354908258516,-0.02816263217844991,10.961363418081088
